_id,regionId,regionName,date,bedReservedOxygen,bedUsedOxygen,bedUsedConfirmedOxygen,bedUsedSuspiciousOxygen,url,bedReservedReanimation,bedUsedReanimation,bedUsedConfirmedReanimation,bedUsedSuspiciousReanimation,bedReservedChildren,bedUsedChildren,bedUsedConfirmedChildren,bedUsedSuspiciousChildren,bedReservedMaternity,bedUsedMaternity,bedUsedConfirmedMaternity,bedUsedSuspiciousMaternity,bedReservedTotal,bedReservedTotalCovid,bedReservedTotalOther,bedUsedTotalCovid,bedReservedOxigen,bedReservedOxigenCovid,bedReservedOxigenOther,bedUsedOxigenCovid,bedReservedReanimationCovid,bedReservedReanimationOther,bedUsedReanimationCovid,HospitalizedPerDay,RecoveredPerDay,usedIvm,usedEkmoCovid,usedEkmoSuspicious,vaccinationAstraZeneca1,vaccinationPfizer1,vaccinationSinovac1,vaccinationNovavax1,vaccinationAge18_20_1,vaccinationAge20_39_1,vaccinationAge40_49_1,vaccinationAge50_59_1,vaccinationAge60_69_1,vaccinationAge70_79_1,vaccinationAge80__1
607de70301199d2a103fb8ad,118,Житомирська область,2021-02-26,2374,909,743,166,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=118,266,75,69,6,127,13,8,5,30,5,4,1,5273,2701,2572,938,2754,2374,380,909,216,50,75,143,90,30,0,0,52,0,0,null,1,13,16,14,7,1,0
607de70301199d2a103fb8ae,121,Закарпатська область,2021-02-26,1474,857,805,52,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=121,201,114,105,9,41,6,3,3,31,12,12,0,5119,2227,2892,1577,1546,1474,72,857,141,60,114,176,131,27,1,0,34,0,0,null,0,9,5,11,9,0,0
607de70301199d2a103fb8af,123,Запорізька область,2021-02-26,2357,352,282,70,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=123,440,49,48,1,170,15,1,14,67,0,0,0,8396,2881,5515,508,2894,2357,537,352,243,197,49,81,61,25,2,2,47,0,0,null,0,15,14,14,4,0,0
607de70301199d2a103fb8b0,126,Івано-Франківська область,2021-02-26,2893,1685,1505,180,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=126,234,167,146,21,155,76,40,36,103,51,33,18,6446,3847,2599,3086,3098,2893,205,1685,212,22,167,292,215,78,0,0,20,0,0,null,0,10,7,2,1,0,0
607de70301199d2a103fb8b1,132,Київська область,2021-02-26,2463,644,546,98,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=132,192,67,63,4,107,16,4,12,81,1,1,0,5532,2770,2762,779,2704,2463,241,644,182,10,67,120,69,13,0,0,60,0,0,null,1,17,20,14,7,1,0
607de70301199d2a103fb8b2,135,Кіровоградська область,2021-02-26,1050,146,131,15,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=135,88,25,25,0,27,0,0,0,3,0,0,0,2636,1050,1586,173,1115,1050,65,146,54,34,25,33,17,10,0,0,66,0,0,null,1,17,20,17,10,1,0
607de70301199d2a103fb8b3,144,Луганська область,2021-02-26,1423,197,153,44,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=144,115,19,15,4,30,27,5,22,26,0,0,0,2906,1432,1474,234,1643,1423,220,197,89,26,19,21,13,10,0,0,30,0,0,null,4,6,12,6,2,0,0
607de70301199d2a103fb8b4,146,Львівська область,2021-02-26,3666,1252,982,270,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=146,341,116,95,21,50,16,9,7,50,18,13,5,8009,3948,4061,1404,4629,3666,963,1252,256,85,116,144,105,45,0,0,80,0,0,null,2,33,36,9,0,0,0
607de70301199d2a103fb8b5,148,Миколаївська область,2021-02-26,1855,656,459,197,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=148,189,59,45,14,95,68,3,65,70,12,11,1,3630,2262,1368,875,1973,1855,118,656,163,26,59,114,64,20,0,0,170,0,0,null,0,43,45,54,21,7,0
607de70301199d2a103fb8b6,151,Одеська область,2021-02-26,2544,573,401,172,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=151,369,61,46,15,277,81,7,74,47,0,0,0,8559,3634,4925,869,3027,2544,483,573,296,73,61,144,101,22,0,0,70,0,0,null,0,27,11,20,11,1,0
